,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
22,1353081457812533248,1353081457812533248,1611434733000.0,2021-01-23 12:45:33,-0800,,"If you have a misdemeanor criminal conviction, you could be eligible to have your record expunged &amp; remove barriers to accessing housing, employment &amp; other opportunities. Learn more at  https://t.co/Kgou3h3r2e Thank you to the @NAACP for hosting this important free event on 2/5!  https://t.co/mFaoKMqhBh",en,[],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,6,12,https://twitter.com/RobBontaCA/status/1353081457812533248,['https://bit.ly/3a2DMYr'],"['https://pbs.twimg.com/media/EscbDp2VEAIK_fE.png', 'https://pbs.twimg.com/media/EscbDp4UYAE0H12.jpg']",1,https://pbs.twimg.com/media/EscbDp2VEAIK_fE.png,False,27,1,14,,,,,,,,,[],,,,
23,1352776230647422976,1352776230647422976,1611361961000.0,2021-01-22 16:32:41,-0800,,"It's the 48th anniversary of #RoevWade. Access to safe &amp; legal abortion is a vital right that's under constant threat &amp; attack. Even in CA where this right is valued and protected, we can do more like expanding access to reproductive health care, esp. in underserved communities!  https://t.co/GKmjgXR03Z",en,['roevwade'],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,5,16,https://twitter.com/RobBontaCA/status/1352776230647422976,[],['https://pbs.twimg.com/media/EsYGCneVoAES8We.jpg'],1,https://pbs.twimg.com/media/EsYGCneVoAES8We.jpg,False,23,0,6,,,,,,,,,[],,,,
24,1352507733463814147,1352507733463814147,1611297946000.0,2021-01-21 22:45:46,-0800,,"I carry the energy &amp; enthusiasm of the Oakland #WomensMarch of the last 4 years! I miss not having a march this year, but I'll let the spark &amp; spirit keep fueling my fight for policies of equality, access &amp; justice! Shout out to these young fierce leaders who raised their voices!  https://t.co/sPZsVkH294",en,['womensmarch'],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,4,22,https://twitter.com/RobBontaCA/status/1352507733463814147,[],['https://pbs.twimg.com/media/EsUSnWFVoAIMB-f.jpg'],1,https://pbs.twimg.com/media/EsUSnWFVoAIMB-f.jpg,False,61,2,14,,,,,,,,,[],,,,
25,1352505043916742656,1352505043916742656,1611297305000.0,2021-01-21 22:35:05,-0800,,"I'm relieved to see @CAGovernor's Executive Action to protect California's medical #cannabis patients. By extending their medical ID cards that were expired/expiring, they'll continue to have access to the vital medicine they need! Learn more at  https://t.co/tQKqSzVo7o  https://t.co/YksBR4KlxL",en,['cannabis'],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,4,22,https://twitter.com/RobBontaCA/status/1352505043916742656,['https://bit.ly/3o8klCa'],['https://pbs.twimg.com/media/EsUQCvFU0AAZdtx.png'],1,https://pbs.twimg.com/media/EsUQCvFU0AAZdtx.png,False,22,1,3,,,,,,,,,[],,,,
26,1352446825794441216,1352446825794441216,1611283425000.0,2021-01-21 18:43:45,-0800,,Rejoining the #ParisClimateAgreement is embracing science and signaling to the world that the United States will once again be a bold leader and eager partner in addressing this existential threat! Thank you @POTUS for your swift action!  https://t.co/0Wf4SWiqg3,en,['parisclimateagreement'],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,4,18,https://twitter.com/RobBontaCA/status/1352446825794441216,['https://nyti.ms/395TzWX'],[],0,,False,28,1,5,,,,,,,,,[],,,,
27,1351937792289325058,1351937792289325058,1611162062000.0,2021-01-20 09:01:02,-0800,,.@KamalaHarris is our Vice President!  A daughter of Oakland!  The first woman and first woman of color to serve as VP!  Her journey will inspire and empower so many who will see in her their own possibility and potential.  What a tremendous moment! #InaugurationDay  https://t.co/iDE1zH7Azq,en,['inaugurationday'],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,3,09,https://twitter.com/RobBontaCA/status/1351937792289325058,[],"['https://pbs.twimg.com/media/EsMMQdLVgAIrgUL.jpg', 'https://pbs.twimg.com/media/EsMMQdIU0AA-R9R.jpg']",1,https://pbs.twimg.com/media/EsMMQdLVgAIrgUL.jpg,False,71,0,8,,,,,,,,,[],,,,
28,1351277339737395200,1351277339737395200,1611004597000.0,2021-01-18 13:16:37,-0800,,"It’s an honor to shine a spotlight on @mlkfreedomctr. Inspired by Founding Chair @RepBarbaraLee &amp; led by current Chair Elihu Harris, this Oakland org promotes youth civic engagement/ethical leadership. Listen to staff member David Gaines' timely msg! #MLK  https://t.co/m2ptpqXdI8",en,['mlk'],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,1,13,https://twitter.com/RobBontaCA/status/1351277339737395200,['https://bit.ly/3bN3hiN'],[],0,,False,11,2,2,,,,,,,,,[],,,,
29,1351226238527033350,1351226238527033350,1610992414000.0,2021-01-18 09:53:34,-0800,,"On #MLKDay, we honor a towering and timeless hero who lost his life in the fight for racial and social justice in America. His legacy and teachings remain and resonate today. Dr. King shaped my life as well as my family’s. Here are my thoughts on how #MLK transformed our world!  https://t.co/T9ACJZgsrX",en,"['mlkday', 'mlk']",[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,1,09,https://twitter.com/RobBontaCA/status/1351226238527033350,[],[],1,https://pbs.twimg.com/amplify_video_thumb/1351225093377155072/img/-rIQwpEIZh77dsW8.jpg,False,36,0,8,,,,,,,,,[],,,,
30,1350879587325001728,1350879587325001728,1610909766000.0,2021-01-17 10:56:06,-0800,,"I've introduced the #HOLDAct to empower health officials to protect Californians in for-profit, private detention. These facilities must be held accountable &amp; to the same health standards as other congregate care facilities, esp. w/ the threat of #COVID19!  https://t.co/yfjrNAbpDe",en,"['holdact', 'covid19']",[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,7,10,https://twitter.com/RobBontaCA/status/1350879587325001728,['https://bit.ly/2N13HYo'],[],0,,False,14,0,6,,,,,,,,,[],,,,
31,1350522175510351872,1350522175510351872,1610824552000.0,2021-01-16 11:15:52,-0800,,"I'm honored to receive a 100% score on Equality California's @eqca Legislative Scorecard. Since being elected in 2012, I've received 100% each year for standing with CA's diverse #LGBTQ+ communities. Let's make a CA with more justice &amp; greater inclusion!  https://t.co/NSto11Qbkl  https://t.co/UxCoHZbweA",en,['lgbtq'],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,6,11,https://twitter.com/RobBontaCA/status/1350522175510351872,['https://bit.ly/38NcW75'],['https://pbs.twimg.com/media/Er4EXjsVgAAwM9O.png'],1,https://pbs.twimg.com/media/Er4EXjsVgAAwM9O.png,False,38,0,6,,,,,,,,,[],,,,
